sample interval	  ECG I	iltered
    (0.002 sec)	   (mV)	   (mV)
              0	 -0.085	 -0.115
              1	 -0.080	 -0.115
              2	 -0.070	 -0.120
              3	 -0.075	 -0.120
              4	 -0.095	 -0.120
              5	 -0.090	 -0.120
              6	 -0.100	 -0.120
              7	 -0.100	 -0.115
              8	 -0.100	 -0.115
              9	 -0.085	 -0.115
             10	 -0.060	 -0.110
             11	 -0.045	 -0.110
             12	 -0.055	 -0.110
             13	 -0.060	 -0.110
             14	 -0.070	 -0.105
             15	 -0.080	 -0.105
             16	 -0.085	 -0.105
             17	 -0.080	 -0.105
             18	 -0.070	 -0.100
             19	 -0.040	 -0.100
             20	 -0.050	 -0.100
             21	 -0.045	 -0.100
             22	 -0.040	 -0.100
             23	 -0.040	 -0.100
             24	 -0.055	 -0.100
             25	 -0.060	 -0.100
             26	 -0.055	 -0.100
             27	 -0.055	 -0.095
             28	 -0.055	 -0.095
             29	 -0.045	 -0.095
             30	 -0.040	 -0.095
             31	 -0.045	 -0.090
             32	 -0.040	 -0.090
             33	 -0.030	 -0.090
             34	 -0.035	 -0.090
             35	 -0.045	 -0.085
             36	 -0.055	 -0.085
             37	 -0.055	 -0.085
             38	 -0.050	 -0.085
             39	 -0.020	 -0.085
             40	 -0.015	 -0.080
             41	 -0.010	 -0.080
             42	  0.005	 -0.075
             43	  0.000	 -0.070
             44	 -0.005	 -0.070
             45	 -0.025	 -0.065
             46	 -0.035	 -0.065
             47	 -0.030	 -0.060
             48	 -0.030	 -0.060
             49	 -0.015	 -0.060
             50	 -0.005	 -0.060
             51	  0.000	 -0.065
             52	  0.010	 -0.065
             53	  0.020	 -0.060
             54	  0.000	 -0.060
             55	 -0.005	 -0.055
             56	  0.005	 -0.050
             57	  0.005	 -0.050
             58	  0.010	 -0.045
             59	  0.025	 -0.040
             60	  0.040	 -0.035
             61	  0.055	 -0.030
             62	  0.060	 -0.025
             63	  0.045	 -0.020
             64	  0.040	 -0.010
             65	  0.045	 -0.005
             66	  0.040	  0.005
             67	  0.040	  0.010
             68	  0.070	  0.020
             69	  0.075	  0.025
             70	  0.090	  0.025
             71	  0.105	  0.030
             72	  0.105	  0.030
             73	  0.115	  0.030
             74	  0.105	  0.035
             75	  0.100	  0.035
             76	  0.100	  0.040
             77	  0.095	  0.045
             78	  0.125	  0.055
             79	  0.155	  0.065
             80	  0.160	  0.075
             81	  0.160	  0.085
             82	  0.175	  0.095
             83	  0.175	  0.100
             84	  0.155	  0.105
             85	  0.160	  0.110
             86	  0.150	  0.115
             87	  0.150	  0.120
             88	  0.160	  0.125
             89	  0.180	  0.125
             90	  0.190	  0.125
             91	  0.190	  0.125
             92	  0.200	  0.125
             93	  0.190	  0.120
             94	  0.180	  0.120
             95	  0.175	  0.115
             96	  0.165	  0.110
             97	  0.160	  0.105
             98	  0.165	  0.105
             99	  0.155	  0.100
            100	  0.165	  0.100
            101	  0.165	  0.100
            102	  0.170	  0.100
            103	  0.145	  0.095
            104	  0.135	  0.090
            105	  0.110	  0.085
            106	  0.090	  0.075
            107	  0.070	  0.065
            108	  0.075	  0.050
            109	  0.085	  0.040
            110	  0.085	  0.025
            111	  0.070	  0.015
            112	  0.070	  0.010
            113	  0.050	  0.000
            114	  0.040	 -0.005
            115	  0.025	 -0.010
            116	  0.005	 -0.015
            117	 -0.005	 -0.020
            118	  0.000	 -0.025
            119	  0.000	 -0.035
            120	  0.005	 -0.045
            121	  0.010	 -0.055
            122	  0.000	 -0.060
            123	  0.010	 -0.065
            124	  0.015	 -0.065
            125	  0.030	 -0.060
            126	  0.035	 -0.050
            127	  0.045	 -0.035
            128	  0.065	 -0.015
            129	  0.085	  0.000
            130	  0.090	  0.015
            131	  0.120	  0.025
            132	  0.115	  0.030
